Postinmr,Keskineliöhinta,1v-muutosprosentti,5v-muutosprosentti
48130,1053,-4%,N/A
64200,1052,-13%,-5%
26660,1051,0%,-14%
35300,1047,-17%,-9%
38700,1043,-8%,-21%
44120,1041,-13%,-13%
94720,1036,18%,-2%
40640,1035,2%,-20%
37630,1027,-15%,-11%
31400,1016,-4%,-8%
41400,1012,35%,33%
92130,1011,2%,-9%
41330,1007,-6%,-24%
81100,998,-12%,-34%
24260,995,-1%,3%
39200,994,7%,1%
67800,988,3%,-9%
38210,986,6%,-12%
45200,979,0%,-13%
54800,974,13%,-9%
87400,971,-6%,-9%
25130,968,-14%,-14%
61400,964,-9%,-10%
28450,957,-9%,-17%
25900,954,23%,-8%
21140,952,-9%,6%
86600,945,-1%,-19%
71750,939,N/A,-16%
92120,935,N/A,-16%
47400,931,-8%,-10%
41800,928,-11%,-5%
49410,927,-3%,-5%
45700,922,-4%,-15%
25360,919,-25%,-5%
42100,913,-10%,-22%
64100,908,7%,-8%
39500,905,-2%,-21%
73300,902,2%,-37%
37240,901,14%,11%
36420,895,N/A,-31%
14700,882,8%,-27%
78210,875,21%,14%
69100,871,-1%,-13%
87150,867,-32%,N/A
94100,861,-12%,-12%
55120,857,-4%,-25%
26820,853,-4%,-19%
39700,849,-10%,-18%
96500,841,-6%,-5%
44800,831,-7%,-18%
48200,823,-4%,-22%
32210,822,19%,-4%
44500,818,-8%,-21%
78850,816,11%,-14%
41520,812,-13%,-12%
51200,806,17%,-19%
29250,792,-3%,-28%
51900,787,-4%,-28%
63800,781,N/A,0%
31640,775,-12%,-8%
57170,773,-19%,-42%
63700,768,-16%,-20%
79100,767,2%,-3%
35700,761,-11%,-2%
42700,757,-2%,-26%
48700,751,-14%,-18%
77600,746,-13%,-22%
77700,746,14%,-1%
16600,735,-8%,-32%
19700,726,-8%,-26%
61500,725,-15%,-23%
62200,722,-14%,-19%
98100,716,-13%,-14%
94400,710,6%,-15%
18300,707,-6%,-2%
89400,705,N/A,N/A
93100,700,-6%,-28%
08450,679,N/A,N/A
28330,673,-20%,-26%
28370,660,-5%,-23%
91700,655,N/A,-13%
32740,654,-6%,-19%
52550,646,11%,-47%
58500,638,-8%,-42%
57230,635,0%,-35%
74700,633,0%,-21%
30300,630,-7%,-22%
49510,616,14%,-20%
46900,611,-15%,-24%
29630,607,N/A,-10%
78250,605,1%,-10%
47200,603,N/A,-27%
86800,595,-19%,-29%
72100,590,N/A,N/A
28880,586,-1%,-10%
94200,580,12%,-15%
42300,572,2%,-17%
83900,562,-1%,-32%
28840,549,N/A,-14%
72300,545,N/A,N/A
76100,537,-19%,-30%
94700,529,-11%,-1%
48350,525,1%,-25%
52420,516,N/A,N/A
98120,513,N/A,7%
44200,512,-20%,-21%
59100,473,-19%,-49%
82900,462,-25%,-38%
71200,453,-13%,-33%
42600,426,-31%,N/A
79700,313,N/A,N/A
